dataset,init,kmeans,award
rc_ch100_s8943_[kovaleva_1000x15_c7_m100_a0.5_s2895].pts,698.6985538005828,212.58370542526245,0.24444103240966797
rc_ch100_s8943_[kovaleva_1000x15_c7_m100_a0.5_s3725].pts,483.64308428764343,185.44074845314026,0.34420967102050787
rc_ch100_s8943_[kovaleva_1000x15_c7_m100_a0.5_s4252].pts,554.5860695838928,210.53593182563785,1.6066908836364748
rc_ch100_s8943_[kovaleva_1000x15_c7_m100_a0.5_s4400].pts,528.1954998970033,271.72966027259827,1.0190052986145024
rc_ch100_s8943_[kovaleva_1000x15_c7_m100_a0.5_s5388].pts,538.1025364398956,245.39674997329712,0.9535670280456542
rc_ch100_s8943_[kovaleva_1000x15_c7_m100_a0.5_s5486].pts,576.8170850276947,206.44166684150696,0.10795903205871579
rc_ch100_s8943_[kovaleva_1000x15_c7_m100_a0.5_s6472].pts,524.6182224750519,226.56851935386658,0.02748560905456543
rc_ch100_s8943_[kovaleva_1000x15_c7_m100_a0.5_s6635].pts,536.2052974700928,230.9836437702179,0.16016101837158206
rc_ch100_s8943_[kovaleva_1000x15_c7_m100_a0.5_s8285].pts,532.3722670078276,240.17908287048343,0.17011189460754406
rc_ch200_s1981_[kovaleva_1000x15_c12_m60_a0.5_s2095].pts,1020.2516915798186,553.2803454399109,0.03332114219665527
rc_ch200_s1981_[kovaleva_1000x15_c12_m60_a0.5_s2895].pts,1199.6714937686922,680.2150251865387,0.07860755920410162
rc_ch200_s1981_[kovaleva_1000x15_c12_m60_a0.5_s3725].pts,1176.4192380905151,797.9466469287871,0.12274456024169926
rc_ch200_s1981_[kovaleva_1000x15_c12_m60_a0.5_s4252].pts,1138.324465036392,609.6617541313171,0.03371143341064453
rc_ch200_s1981_[kovaleva_1000x15_c12_m60_a0.5_s4400].pts,1221.3133618831635,735.6820478439331,0.03650164604187012
rc_ch200_s1981_[kovaleva_1000x15_c12_m60_a0.5_s5388].pts,1170.4241123199463,699.808516740799,0.37517261505126975
